leagueId,queueType,tier,rank,summonerId,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
4bc45013-60d6-4439-9521-97f35eaacda1,RANKED_SOLO_5x5,DIAMOND,I,F4i5L2-o9RIlvc9Vf0OVrnM0WV-QuvM6NZJh6xvJ8mTSSGY,AMKHAUTB5opxok_eIyfk1eznsSHaX8UJdf9tVi7T-m-y5qVHYsA3sx4EAV0AFxMM5Y4xbZyfF02CDg,75,18,10,False,False,False,False
a24bf00c-d8a2-4b91-b287-450db87a29e8,RANKED_SOLO_5x5,DIAMOND,I,rXn2f8vDPnJOn6qqqHmGj4JEjS36xKfXpGI_YYjug9SxYA0,RSiqoMSyGwRmmta-sJcBUPpDmoWFCaTbRyfmEVvpZti1EDH30XSIqk7DCWpjSZw_biApSRKXTqE6fg,32,93,109,False,False,False,False
add19199-1939-4093-b5e5-f4fe1b404a53,RANKED_SOLO_5x5,DIAMOND,I,9rxhR1nO4CENZa9OVVdbA9ztxzY_U4fmrARgnA5lCNxqbD4,MvGfNwOiDQrtb1iEUPrUyOQCelKQJY1Gu2LTvsfe47fEylR3OouLLlIvN9o0bj24JAkFfwjeEJ-7jg,37,330,304,False,False,True,False
7777ca6f-1a66-44bd-9fb7-8948aa099139,RANKED_SOLO_5x5,DIAMOND,I,L52WWreryVb1sdugWw4C_-IG0_5QD3pEepZthXCvfrMcgcc,sLkpYQnqoxP1C8sOjhkwgtNvi_tvTIcOXj2sUufGEQ5DkK5a2h1Vgqz-MwVIQI7CF6rQBpaOQqzqDw,75,37,40,False,False,False,False
6a60783f-5b88-475b-bffb-60abe74c6975,RANKED_SOLO_5x5,DIAMOND,I,oX3SYdPsTQYNJU6TU28pbYBmhkxMA9WfI8cJAkUw-7d5FCs,pVBc8Tpt8jyiISJuxipmfvuCG88aSb6hgU3hIK9NMqYKd6alycCV3eoW9CiuQR6Uq8KmpoHsj6D9kQ,75,66,71,False,False,False,False
7c812651-f2b7-466a-bd3f-b9a59da4dcd0,RANKED_SOLO_5x5,DIAMOND,I,pZbgZVjBcSeUvJbTYyYFeoiL5deMZ07SD6MwD1JxT9CTlKQ,2ZJ7Hrqm2UlxNh6umVG98S0pOvlMTWpczjlq2XFihyWa-fYhQ1sPnQpEnjiQVY9x5XBILh5-Kyb_0Q,44,73,99,False,False,False,False
4d3567d9-d00b-44cc-81a6-49cae640dcc0,RANKED_SOLO_5x5,DIAMOND,I,0MfbdoJLdWr7RNznTXirRQD7DG6obfkX_6wRYA_kEi83k_M,ij301fFx-M1G5L7SV48-MET7nKIqxMKNA1BhgSfv-GwZDu5Raga0-qVp1jX_dgdQww6UWQLbcNQXYw,1,29,20,False,False,False,False
53ffdc9c-323b-4461-830e-5c857c4c681b,RANKED_SOLO_5x5,DIAMOND,I,LiqVGFNLhJ_i6IlJ1LUmO1iDsq6-CGcndF44Ts_TmSt5Lb0,cN0fCqRYKRImbJ1jPJElqnbDh26Ht1fBwQ6wjsa-o9ZOI29bfYCmlg_42JX1chNctwF1cjfTUw4GBw,75,25,17,False,False,False,False
bbfa4e56-545d-4c1e-8d2a-cba8348b0a2a,RANKED_SOLO_5x5,DIAMOND,I,GKGBcRZKjlpBYsv_8ZoJ4qaSnHA0Heqh09qfadsMrgEfF5U,7FlP5gUjUlR6Rm2Mr2Hrp9hid1ddUwqqIlRBBiCAkY2LRm1zADVkWRkPyNnIGwB4PmvI-bTyvyGiVg,75,31,29,False,False,False,False
c85f54c2-5855-4725-9396-792f85b5bb61,RANKED_SOLO_5x5,DIAMOND,I,H97ZfZrGOcH2rK02gJsvLnIfrZFPcFLgtX31IphcqHrBOKQ,e_RqbYdhXQ3X-HocqzBI1Q4NEKawaNg2Vf_RuwyfqilNhuhHhypcTTKwlGKFyTC536pnSZhT5pYulA,26,67,73,False,False,False,False
94791f41-9de3-4e04-83f1-27fa034b775e,RANKED_SOLO_5x5,DIAMOND,I,rDXMphZ_PWhZQgtwQCDh1JI936Fol6woTYcogwz4J9Txbis,EJcF157cbt9XEP-Bk1S1k2bYH-jnXYiz5WgeNod-eIXOxUXXZs2ocGgU7OxpoOn5dFQyuYY62WCLrQ,14,127,150,False,False,False,False
06438c30-6ad2-448a-81c3-45eca24955aa,RANKED_SOLO_5x5,DIAMOND,I,JpSpgycFjwjSAFZezgNhYwMuOry_KJbXUXtmGC5gQnjv4is,6LLlHABiYqOZq5Ss2644AuBT10k6ZlfXXBE8ppT0hK1Qdews1FE7l-IT-EbRdd2g3xyy1rQkpfnE7w,75,48,42,False,False,False,False
3b2dadc3-74d0-4197-b699-1f4cc13f1d72,RANKED_SOLO_5x5,DIAMOND,I,LLcfL2oig_UIBfJwwMG8-s9c6X0P8y6Y8W0UwrBy2tJcyF4,6lW3WyxU8vk01YQTubn7mbRfdt_2ZzbV3fBRI0_XGJeGdh67ADpInCSHX-39rEXFd1C169BaoMenlw,67,42,52,False,False,False,False
3b2dadc3-74d0-4197-b699-1f4cc13f1d72,RANKED_SOLO_5x5,DIAMOND,I,dEr9qBdnj7SgqaqttfTKkv8jEx6y8j4JVnU1rH30IEBATDQ,_lbhgffqUbzOnHPNDhDdMEtHVdsqPHD-zBUBGr1GzsPrwXpf6RHkoBUdkv6quw_U49sDPZCf3LQp3g,75,50,48,False,False,False,False
3b2dadc3-74d0-4197-b699-1f4cc13f1d72,RANKED_SOLO_5x5,DIAMOND,I,EqketuRbS189a6W44OP9fdKneF0n0je0LAbspQhzyMD9f-A,_MpITqzFxcznqsf9MD21ZvN7BkNwQ8a0_tVmcS2nIhvnP6ytrzOWvMPNuLiTkxnX6DxEchYj3JVJTA,75,85,91,False,False,False,False
eb038806-0657-41ab-abd6-654fa69ad56c,RANKED_SOLO_5x5,DIAMOND,I,lPcPqyPlt76ikMrcwvTFbmpgcdyqo3dRtdJxCd4MhT-swfU,Q5qsjEYwnNh7UDHRYEmzM1uAevSikUUCt-y6l0oMwVrM81GJC92MFdpATA7ICo_KKwg6DlpMIuUCtw,77,86,74,False,False,False,False
